code,contestId,name,partyId,ballotNo,status
"CHA-MAYOR-002","CHA-EXECUTIVE-1","陳素月","DPP","","REGISTERED"
"CHA-MAYOR-001","CHA-EXECUTIVE-1","魏平政","KMT","","REGISTERED"
"CYI-MAYOR-002","CYI-EXECUTIVE-1","王美惠","DPP","","REGISTERED"
"CYI-MAYOR-001","CYI-EXECUTIVE-1","張啓楷","IND","","REGISTERED"
"CYQ-MAYOR-001","CYQ-EXECUTIVE-1","吳品叡","IND","","REGISTERED"
"CYQ-MAYOR-002","CYQ-EXECUTIVE-1","蔡易餘","DPP","","REGISTERED"
"HSQ-MAYOR-001","HSQ-EXECUTIVE-1","徐欣瑩","KMT","","REGISTERED"
"HSQ-MAYOR-002","HSQ-EXECUTIVE-1","鄭朝方","DPP","","REGISTERED"
"HSZ-MAYOR-001","HSZ-EXECUTIVE-1","高虹安","IND","","REGISTERED"
"HSZ-MAYOR-002","HSZ-EXECUTIVE-1","莊競程","DPP","","REGISTERED"
"HUA-MAYOR-001","HUA-EXECUTIVE-1","游淑貞","KMT","","REGISTERED"
"ILA-MAYOR-001","ILA-EXECUTIVE-1","吳宗憲","IND","","REGISTERED"
"ILA-MAYOR-002","ILA-EXECUTIVE-1","林國漳","DPP","","REGISTERED"
"KEE-MAYOR-002","KEE-EXECUTIVE-1","童子瑋","DPP","","REGISTERED"
"KEE-MAYOR-001","KEE-EXECUTIVE-1","謝國樑","KMT","","REGISTERED"
"KHH-MAYOR-001","KHH-EXECUTIVE-1","柯志恩","KMT","","REGISTERED"
"KHH-MAYOR-002","KHH-EXECUTIVE-1","賴瑞隆","DPP","","REGISTERED"
"KIN-MAYOR-001","KIN-EXECUTIVE-1","陳玉珍","KMT","","REGISTERED"
"LIE-MAYOR-001","LIE-EXECUTIVE-1","王忠銘","KMT","","REGISTERED"
"MIA-MAYOR-002","MIA-EXECUTIVE-1","陳品安","DPP","","REGISTERED"
"MIA-MAYOR-001","MIA-EXECUTIVE-1","鍾東錦","IND","","REGISTERED"
"NAN-MAYOR-001","NAN-EXECUTIVE-1","許淑華","KMT","","REGISTERED"
"NAN-MAYOR-002","NAN-EXECUTIVE-1","温世政","DPP","","REGISTERED"
"NTP-MAYOR-002","NTP-EXECUTIVE-1","李四川","KMT","","REGISTERED"
"NTP-MAYOR-001","NTP-EXECUTIVE-1","蘇巧慧","DPP","","REGISTERED"
"PEN-MAYOR-002","PEN-EXECUTIVE-1","吳淑瑾","DPP","","REGISTERED"
"PEN-MAYOR-001","PEN-EXECUTIVE-1","陳振中","KMT","","REGISTERED"
"PIF-MAYOR-002","PIF-EXECUTIVE-1","周春米","DPP","","REGISTERED"
"PIF-MAYOR-001","PIF-EXECUTIVE-1","蘇清泉","KMT","","REGISTERED"
"TAO-MAYOR-001","TAO-EXECUTIVE-1","張善政","KMT","","REGISTERED"
"TAO-MAYOR-002","TAO-EXECUTIVE-1","黃世杰","DPP","","REGISTERED"
"TNN-MAYOR-002","TNN-EXECUTIVE-1","陳亭妃","DPP","","REGISTERED"
"TNN-MAYOR-001","TNN-EXECUTIVE-1","謝龍介","KMT","","REGISTERED"
"TPE-MAYOR-002","TPE-EXECUTIVE-1","沈伯洋","DPP","","REGISTERED"
"TPE-MAYOR-001","TPE-EXECUTIVE-1","蔣萬安","KMT","","REGISTERED"
"TTT-MAYOR-001","TTT-EXECUTIVE-1","吳秀華","KMT","","REGISTERED"
"TTT-MAYOR-002","TTT-EXECUTIVE-1","陳瑩","DPP","","REGISTERED"
"TXG-MAYOR-001","TXG-EXECUTIVE-1","江啟臣","KMT","","REGISTERED"
"TXG-MAYOR-002","TXG-EXECUTIVE-1","何欣純","DPP","","REGISTERED"
"YUN-MAYOR-001","YUN-EXECUTIVE-1","張嘉郡","KMT","","REGISTERED"
"YUN-MAYOR-002","YUN-EXECUTIVE-1","劉建國","DPP","","REGISTERED"
