code,contestId,contestName,name,partyId
"KHH-COUNCIL-01-02","KHH-COUNCIL-1","議員第 1 選舉區","林慧欣","DPP"
"KHH-COUNCIL-10-02","KHH-COUNCIL-10","議員第 10 選舉區","吳昱鋒","DPP"
"KHH-COUNCIL-10-03","KHH-COUNCIL-10","議員第 10 選舉區","黃敬雅","DPP"
"KHH-COUNCIL-11-01","KHH-COUNCIL-11","議員第 11 選舉區","張耀中","DPP"
"KHH-COUNCIL-11-02","KHH-COUNCIL-11","議員第 11 選舉區","洪村銘","DPP"
"KHH-COUNCIL-12-01","KHH-COUNCIL-12","議員第 12 選舉區","巫振興","DPP"
"KHH-COUNCIL-02-01","KHH-COUNCIL-2","議員第 2 選舉區","陳琳潔","DPP"
"KHH-COUNCIL-03-03","KHH-COUNCIL-3","議員第 3 選舉區","蔡秉璁","DPP"
"KHH-COUNCIL-04-01","KHH-COUNCIL-4","議員第 4 選舉區","張以理","DPP"
"KHH-COUNCIL-04-02","KHH-COUNCIL-4","議員第 4 選舉區","尹立","DPP"
"KHH-COUNCIL-09-04","KHH-COUNCIL-9","議員第 9 選舉區","鄧巧佩","DPP"
"KHH-COUNCIL-09-05","KHH-COUNCIL-9","議員第 9 選舉區","蘇致榮","DPP"
"NTP-COUNCIL-01-01","NTP-COUNCIL-1","議員第 1 選舉區","游明諺","DPP"
"NTP-COUNCIL-11-02","NTP-COUNCIL-11","議員第 11 選舉區","蔡美華","DPP"
"NTP-COUNCIL-13-01","NTP-COUNCIL-13","議員第 13 選舉區","布落‧馬信","DPP"
"NTP-COUNCIL-02-01","NTP-COUNCIL-2","議員第 2 選舉區","戴翎育","DPP"
"NTP-COUNCIL-03-01","NTP-COUNCIL-3","議員第 3 選舉區","陳岱吟","DPP"
"NTP-COUNCIL-03-02","NTP-COUNCIL-3","議員第 3 選舉區","吳奕萱","DPP"
"NTP-COUNCIL-04-01","NTP-COUNCIL-4","議員第 4 選舉區","陳俊維","DPP"
"NTP-COUNCIL-05-01","NTP-COUNCIL-5","議員第 5 選舉區","李昆穎","DPP"
"NTP-COUNCIL-05-05","NTP-COUNCIL-5","議員第 5 選舉區","陳俊諺","DPP"
"NTP-COUNCIL-06-02","NTP-COUNCIL-6","議員第 6 選舉區","張志豪","DPP"
"NTP-COUNCIL-07-01","NTP-COUNCIL-7","議員第 7 選舉區","羅文崇","DPP"
"NTP-COUNCIL-08-02","NTP-COUNCIL-8","議員第 8 選舉區","吳昇翰","DPP"
"NTP-COUNCIL-08-05","NTP-COUNCIL-8","議員第 8 選舉區","高乃芸","DPP"
"NTP-COUNCIL-09-02","NTP-COUNCIL-9","議員第 9 選舉區","陳韋任","DPP"
"TAO-COUNCIL-01-05","TAO-COUNCIL-1","議員第 1 選舉區","李柏瑟","DPP"
"TAO-COUNCIL-12-01","TAO-COUNCIL-12","議員第 12 選舉區","張佩芸","DPP"
"TAO-COUNCIL-03-01","TAO-COUNCIL-3","議員第 3 選舉區","蔡永芳","DPP"
"TAO-COUNCIL-04-02","TAO-COUNCIL-4","議員第 4 選舉區","胡家智","DPP"
"TAO-COUNCIL-09-02","TAO-COUNCIL-9","議員第 9 選舉區","項柏翰","DPP"
"TNN-COUNCIL-10-02","TNN-COUNCIL-10","議員第 10 選舉區","陳金鐘","DPP"
