code,contestId,name,partyId,ballotNo,status
KMT-TPE-COUNCIL-1-9B2BC95B,TPE-COUNCIL-1,汪志冰,KMT,,REGISTERED
KMT-TPE-COUNCIL-1-B1C96BC4,TPE-COUNCIL-1,張斯綱,KMT,,REGISTERED
KMT-TPE-COUNCIL-1-4EA65B1F,TPE-COUNCIL-1,林杏兒,KMT,,REGISTERED
KMT-TPE-COUNCIL-1-9D0A550C,TPE-COUNCIL-1,賴苡任,KMT,,REGISTERED
KMT-TPE-COUNCIL-1-B45A522B,TPE-COUNCIL-1,林揚庭,KMT,,REGISTERED
KMT-TPE-COUNCIL-2-AE1121A3,TPE-COUNCIL-2,吳世正,KMT,,REGISTERED
KMT-TPE-COUNCIL-2-89D6EE74,TPE-COUNCIL-2,闕枚莎,KMT,,REGISTERED
KMT-TPE-COUNCIL-2-F1900C10,TPE-COUNCIL-2,游淑慧,KMT,,REGISTERED
KMT-TPE-COUNCIL-2-569C96FA,TPE-COUNCIL-2,李明賢,KMT,,REGISTERED
KMT-TPE-COUNCIL-2-7000D75D,TPE-COUNCIL-2,陳冠安,KMT,,REGISTERED
KMT-TPE-COUNCIL-3-0023795F,TPE-COUNCIL-3,秦慧珠,KMT,,REGISTERED
KMT-TPE-COUNCIL-3-32176871,TPE-COUNCIL-3,戴錫欽,KMT,,REGISTERED
KMT-TPE-COUNCIL-3-CD9EB0FC,TPE-COUNCIL-3,詹為元,KMT,,REGISTERED
KMT-TPE-COUNCIL-3-38E0A64D,TPE-COUNCIL-3,李明璇,KMT,,REGISTERED
KMT-TPE-COUNCIL-3-7B02C617,TPE-COUNCIL-3,許原榮,KMT,,REGISTERED
KMT-TPE-COUNCIL-4-EF4E1A08,TPE-COUNCIL-4,葉林傳,KMT,,REGISTERED
KMT-TPE-COUNCIL-4-32D1594B,TPE-COUNCIL-4,陳炳甫,KMT,,REGISTERED
KMT-TPE-COUNCIL-4-01CA0FA4,TPE-COUNCIL-4,柳采葳,KMT,,REGISTERED
KMT-TPE-COUNCIL-4-52FFC11A,TPE-COUNCIL-4,李易儒,KMT,,REGISTERED
KMT-TPE-COUNCIL-5-9275E9DE,TPE-COUNCIL-5,吳志剛,KMT,,REGISTERED
KMT-TPE-COUNCIL-5-5EE12970,TPE-COUNCIL-5,鍾小平,KMT,,REGISTERED
KMT-TPE-COUNCIL-5-2BC11363,TPE-COUNCIL-5,郭昭巖,KMT,,REGISTERED
KMT-TPE-COUNCIL-5-1D4951BC,TPE-COUNCIL-5,張延廷,KMT,,REGISTERED
KMT-TPE-COUNCIL-6-4DB3BBA2,TPE-COUNCIL-6,陳錦祥,KMT,,REGISTERED
KMT-TPE-COUNCIL-6-52D5AC8F,TPE-COUNCIL-6,王欣儀,KMT,,REGISTERED
KMT-TPE-COUNCIL-6-18D537F4,TPE-COUNCIL-6,徐弘庭,KMT,,REGISTERED
KMT-TPE-COUNCIL-6-BDBC6E46,TPE-COUNCIL-6,鍾沛君,KMT,,REGISTERED
KMT-TPE-COUNCIL-6-B9661A2E,TPE-COUNCIL-6,耿葳,KMT,,REGISTERED
KMT-TPE-COUNCIL-6-3C5BE409,TPE-COUNCIL-6,李柏毅,KMT,,REGISTERED
KMT-TPE-COUNCIL-6-F350CB01,TPE-COUNCIL-6,楊植斗,KMT,,REGISTERED
KMT-TPE-COUNCIL-6-2416907D,TPE-COUNCIL-6,曾獻瑩,KMT,,REGISTERED
KMT-TPE-COUNCIL-7-A8EDEBE3,TPE-COUNCIL-7,李芳儒,KMT,,REGISTERED
KMT-TPE-COUNCIL-8-CE0C7488,TPE-COUNCIL-8,李傅鈺婷,KMT,,REGISTERED
KMT-NTP-COUNCIL-1-0934058F,NTP-COUNCIL-1,陳偉杰,KMT,,REGISTERED
KMT-NTP-COUNCIL-1-F745099D,NTP-COUNCIL-1,陳家琪,KMT,,REGISTERED
KMT-NTP-COUNCIL-1-09FE5F09,NTP-COUNCIL-1,呂鈞鴻,KMT,,REGISTERED
KMT-NTP-COUNCIL-2-CB1E96B0,NTP-COUNCIL-2,蔡淑君,KMT,,REGISTERED
