contest_id,jurisdiction,party,name_zh,name_en,file,licence,attribution,source_url,status
TPE-EXECUTIVE-1,臺北市,KMT,蔣萬安,,TPE-EXECUTIVE-1-KMT-chiang-wan-an.jpg,Attribution,臺北市政府,https://commons.wikimedia.org/wiki/File:%E8%94%A3%E8%90%AC%E5%AE%89%E5%B8%82%E9%95%B7_(cropped).jpg,已存在，跳過
TPE-EXECUTIVE-1,臺北市,DPP,沈伯洋,,TPE-EXECUTIVE-1-DPP-puma-shen.jpg,Attribution,立法院,https://commons.wikimedia.org/wiki/File:Puma_Shen_2024.jpg,已存在，跳過
NTP-EXECUTIVE-1,新北市,KMT,李四川,,NTP-EXECUTIVE-1-KMT-lee-shu-chuan.jpg,Attribution,臺北市政府,https://commons.wikimedia.org/wiki/File:Lee_Shu-chuan_2023.jpg,已存在，跳過
NTP-EXECUTIVE-1,新北市,DPP,蘇巧慧,,NTP-EXECUTIVE-1-DPP-su-chiao-hui.jpg,Attribution,立法院,https://commons.wikimedia.org/wiki/File:%E8%98%87%E5%B7%A7%E6%85%A7%E5%A7%94%E5%93%A1.jpg,已存在，跳過
TAO-EXECUTIVE-1,桃園市,KMT,張善政,,TAO-EXECUTIVE-1-KMT-chang-san-cheng.jpg,Attribution,中華民國內政部,https://commons.wikimedia.org/wiki/File:%E6%A1%83%E5%9C%92%E5%B8%82%E9%95%B7%E5%BC%B5%E5%96%84%E6%94%BF.jpg,已存在，跳過
TAO-EXECUTIVE-1,桃園市,DPP,黃世杰,Huang Shih-chieh,DPP-TAO-EXECUTIVE-1-8A521EDF.webp,Official profile,立法院,https://www.ly.gov.tw/Pages/List.aspx?nodeid=38607,已下載並轉為 WebP
TXG-EXECUTIVE-1,臺中市,KMT,江啟臣,Johnny Chiang,TXG-EXECUTIVE-1-KMT-johnny-chiang.jpg,Attribution,立法院,https://commons.wikimedia.org/wiki/File:%E6%B1%9F%E5%95%9F%E8%87%A3%E5%A7%94%E5%93%A1.jpg,已下載 47KB
TXG-EXECUTIVE-1,臺中市,DPP,何欣純,Ho Hsin-chun,TXG-EXECUTIVE-1-DPP-ho-hsin-chun.jpg,Attribution,立法院全球資訊網,https://commons.wikimedia.org/wiki/File:%E7%AC%AC%E5%8D%81%E4%B8%80%E5%B1%86%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E4%BD%95%E6%AC%A3%E7%B4%94%E8%82%96%E5%83%8F.jpg,已下載 295KB
TNN-EXECUTIVE-1,臺南市,KMT,謝龍介,Hsieh Lung-chieh,TNN-EXECUTIVE-1-KMT-hsieh-lung-chieh.jpg,Attribution,立法院全球資訊網,https://commons.wikimedia.org/wiki/File:%E8%AC%9D%E9%BE%8D%E4%BB%8B%E8%82%96%E5%83%8F.jpg,已下載 24KB
TNN-EXECUTIVE-1,臺南市,DPP,陳亭妃,Chen Ting-fei,TNN-EXECUTIVE-1-DPP-chen-ting-fei.jpg,Attribution,立法院,https://commons.wikimedia.org/wiki/File:%E9%99%B3%E4%BA%AD%E5%A6%83%E5%A7%94%E5%93%A1.jpg,已下載 18KB
KHH-EXECUTIVE-1,高雄市,KMT,柯志恩,Ko Chih-en,KHH-EXECUTIVE-1-KMT-ko-chih-en.jpg,Attribution,立法院全球資訊網,https://commons.wikimedia.org/wiki/File:%E6%9F%AF%E5%BF%97%E6%81%A9%E8%82%96%E5%83%8F.jpg,已下載 71KB
KHH-EXECUTIVE-1,高雄市,DPP,賴瑞隆,Lai Jui-lung,KHH-EXECUTIVE-1-DPP-lai-jui-lung.jpg,Attribution,立法院,https://commons.wikimedia.org/wiki/File:%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E8%B3%B4%E7%91%9E%E9%9A%86.jpg,已下載 24KB
KEE-EXECUTIVE-1,基隆市,KMT,謝國樑,George Hsieh,KEE-EXECUTIVE-1-KMT-george-hsieh.jpg,Attribution,​基隆市政府,https://commons.wikimedia.org/wiki/File:%E8%AC%9D%E5%9C%8B%E6%A8%91%E5%B8%82%E9%95%B7.jpg,已下載 15KB
KEE-EXECUTIVE-1,基隆市,DPP,童子瑋,Tong Tzu-wei,KEE-EXECUTIVE-1-DPP-tong-tzu-wei.jpg,CC BY-SA 4.0,CHENGYITERRYLiN,https://commons.wikimedia.org/wiki/File:%E7%AB%A5%E5%AD%90%E7%91%8B%E8%AD%B0%E9%95%B7.jpg,已下載 22KB
ILA-EXECUTIVE-1,宜蘭縣,IND,吳宗憲,,IND-ILA-EXECUTIVE-1-9E02442B.webp,Official profile,立法院,https://www.ly.gov.tw/Pages/List.aspx?nodeid=46767,已下載並轉為 WebP
ILA-EXECUTIVE-1,宜蘭縣,DPP,林國漳,,DPP-ILA-EXECUTIVE-1-65607ACC.webp,Source publication,The Hub News / PChome,https://news.pchome.com.tw/society/thehubnews/20260327/index-77459305577863306002.html,已下載並轉為 WebP
HSQ-EXECUTIVE-1,新竹縣,KMT,徐欣瑩,Hsu Hsin-ying,HSQ-EXECUTIVE-1-KMT-hsu-hsin-ying.jpg,Attribution,立法院,https://commons.wikimedia.org/wiki/File:%E5%BE%90%E6%AC%A3%E7%91%A9%E5%A7%94%E5%93%A1.jpg,已下載 61KB
HSQ-EXECUTIVE-1,新竹縣,DPP,鄭朝方,Cheng Chao-fang,HSQ-EXECUTIVE-1-DPP-cheng-chao-fang.jpg,CC BY-SA 4.0,Kevin91406039,https://commons.wikimedia.org/wiki/File:%E7%AB%B9%E5%8C%97%E5%B8%82%E5%B8%82%E9%95%B7%E9%84%AD%E6%9C%9D%E6%96%B9.jpg,已下載 17KB
HSZ-EXECUTIVE-1,新竹市,IND,高虹安,Ann Kao,HSZ-EXECUTIVE-1-IND-ann-kao.jpg,Attribution,新竹市政府,https://commons.wikimedia.org/wiki/File:%E6%96%B0%E7%AB%B9%E5%B8%82%E9%95%B7%E9%AB%98%E8%99%B9%E5%AE%89.jpg,已下載（黨籍更正：2024 一審有罪後退出民眾黨，以無黨籍尋求連任，國民黨支持）
HSZ-EXECUTIVE-1,新竹市,DPP,莊競程,Chuang Ching-cheng,HSZ-EXECUTIVE-1-DPP-chuang-ching-cheng.jpg,Attribution,中華民國立法院,https://commons.wikimedia.org/wiki/File:%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E8%8E%8A%E7%AB%B6%E7%A8%8B.jpg,已下載 250KB
